FID,STATION_NA,DIVISION_H,STN_CODE,ADDRESS,COUNTY,STATION_IN,IG_EAST,IG_NORTH,ITM_EAST,ITM_NORTH,LONGITUDE,LATITUDE,FULL_TIME_,AREA_CODE,PHONE_NUMB,STATION_TY
527,BALLYCULLANE,WEXFORD,3171B,"Ballycullane, New Ross, Co. Wexford",WEXFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Ballycullane.html,279276,114714,679209,614767,-6.839211,52.278869,0,051,562121,Sub-District
528,BLACKWATER,WEXFORD,3101A,"Inch, Blackwater, enniscorty",WEXFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Blackwater.html,312320,133895,712246,633943,-6.348826,52.445411,0,053,9129142,Sub-District
529,CAMPILE,WEXFORD,3176C,"Campile, Co. Wexford",WEXFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Campile.html,272408,115601,672343,615653,-6.939622,52.287783,0,051,388103,Sub-District
530,CARRICK-ON-BANNOW,WEXFORD,3172M,"Carrick-on-Bannow, Co. Wexford",WEXFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Carrick-on-Bannow.html,286534,110305,686466,610359,-6.734019,52.238166,0,051,561122,Sub-District
531,CARRICKBYRNE,WEXFORD,3175E,"Carrickbyrne, Co. Wexford",WEXFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Carrickbyrne.html,284542,124096,684474,624147,-6.759713,52.362377,0,053,9240542,Sub-District
532,CASTLEBRIDGE,WEXFORD,3003A,"Castlebridge, Co. Wexford",WEXFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Castlebridge.html,305412,126984,705339,627034,-6.452561,52.384712,0,053,9159221,Sub-District
533,CLONROCHE,WEXFORD,3106B,"Main St, Clonroche",WEXFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Clonroche.html,287355,133940,687286,633988,-6.715873,52.450375,0,053,9244102,Sub-District
534,COURTOWN,WEXFORD,3072D,Ballinatray Lower,WEXFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Courtown-Harbour.html,319821,156210,719745,656253,-6.230528,52.644257,0,053,9425102,Sub-District
535,DUNCANNON,WEXFORD,3173K,"Duncannon, Co. Wexford",WEXFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Duncannon.html,273189,108224,673124,608278,-6.929776,52.221401,0,051,389102,Sub-District
536,ENNISCORTHY,WEXFORD,3100C,"Lymington Rd, Enniscorthy",WEXFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Enniscorthy.html,297114,139729,697044,639776,-6.570682,52.500739,1,053,9233534,District HQ
537,FERNS,WEXFORD,3102L,"Main St, Ferns",WEXFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Ferns.html,301857,149873,701785,649918,-6.497766,52.590995,0,053,9366104,Sub-District
538,GLYNN,WEXFORD,3005H,"Glynn, Co. Wexford",WEXFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Glynn.html,296565,125474,696494,625524,-6.582891,52.372768,0,053,9128142,Sub-District
539,GOREY,WEXFORD,3070H,"52 Main St, Gorey",WEXFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Gorey.html,315223,159527,715148,659570,-6.29727,52.675046,1,053,9421222,Sub-District
540,KILMORE QUAY,WEXFORD,3004L,"Kilmore Quay, Co. Wexford",WEXFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Kilmore-Quay.html,296930,103875,696859,603930,-6.58373,52.178668,0,053,9129642,Sub-District
541,NEW ROSS,WEXFORD,3170D,"Marshmeadows, New Ross",WEXFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/New-Ross.html,271484,126693,671419,626743,-6.9508,52.387564,1,051,426030,District HQ
542,OULART,WEXFORD,3105D,"Kyle, Oulart, Gorey",WEXFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Oulart.html,309287,140275,709213,640322,-6.391333,52.503337,0,053,9136102,Sub-District
543,OYLEGATE,WEXFORD,3104F,"The Oil, Oylegate, Enniscorthy",WEXFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Oylegate.html,300077,131256,700005,631304,-6.529615,52.424081,0,053,9138132,Sub-District
544,ROSSLARE HARBOUR,WEXFORD,3007D,"Rosslare Harbour, Rosslare, Co. Wexford",WEXFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Rosslare-Harbour.html,313825,112036,713751,612089,-6.334101,52.248751,0,053,9133204,Sub-District
545,ROSSLARE STRAND,WEXFORD,3006F,"Rosslare Strand, Co. Wexford",WEXFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Rosslare.html,310308,114283,710234,614336,-6.384849,52.269656,0,053,9132103,Sub-District
546,TAGHMON,WEXFORD,3001E,"Taghmon, Co. Wexford",WEXFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Taghmon.html,291982,119738,691912,619790,-6.651727,52.322031,0,053,9134102,Sub-District
547,WEXFORD,WEXFORD,3000G,"3 Roches Road, Wexford, Co. Wexford",WEXFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Wexford.html,304886,121500,704813,621551,-6.461997,52.335547,1,053,9165200,District HQ
548,ARKLOW,WEXFORD,3073B,"Abbey Street, Arklow, Co. Wicklow",WICKLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Arklow.html,324524,173255,724447,673294,-6.154628,52.796281,1,0402,32304,Sub-District
549,ASHFORD,WEXFORD,3201H,"Main Street, Ashford, Co.Wicklow",WICKLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Ashford.html,327014,197500,726937,697535,-6.108274,53.013445,0,0404,40212,Sub-District
550,AUGHRIM,WEXFORD,3207G,"Main Street, Aughrim,Co.Wicklow",WICKLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Aughrim.html,312754,179619,712680,679657,-6.32684,52.856031,0,0402,36142,Sub-District
551,AVOCA,WEXFORD,3205M,"Kilmagig Lower, Avoca",WICKLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Avoca.html,320421,180111,720345,680149,-6.212905,52.858789,0,0402,35102,Sub-District
552,BALTINGLASS,WEXFORD,2900K,Edward Street,WICKLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Baltinglass.html,286795,188319,686727,688355,-6.709772,52.938986,1,059,6482610,District HQ
553,BLESSINGTON,WEXFORD,2901G,Main Street,WICKLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Blessington.html,298103,214283,698033,714314,-6.533734,53.170266,0,045,857620,Sub-District
554,BRAY,WEXFORD,1930E,"Convent Avenue, Bray, Co. Wicklow",WICKLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Bray.html,326982,218126,726905,718156,-6.100595,53.198679,1,01,6665300,District HQ
555,CARNEW,WEXFORD,3074M,Main Street,WICKLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Carnew.html,301985,163180,701913,663222,-6.491768,52.710507,0,053,9426102,Sub-District
556,DUNLAVIN,WEXFORD,2902E,"Dunlavin, Co. Wicklow",WICKLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Dunlavin.html,287139,201660,687070,701693,-6.701071,53.058777,0,045,401211,Sub-District
557,ENNISKERRY,WEXFORD,1931C,"Church Hill, Enniskerry, Co. Dublin",WICKLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Enniskerry.html,322397,217190,722321,717220,-6.169531,53.191343,0,01,6665750,Sub-District
558,GREYSTONES,WEXFORD,1933L,"6 Marine Terrace, Greystones, Co. Wicklow",WICKLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Greystones.html,329636,212550,729559,712581,-6.063164,53.147964,1,01,6665800,Sub-District
559,NEWTOWNMOUNTKENNEDY,WEXFORD,3203D,"Newtownmountkennedy, Co. Wicklow",WICKLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Newtownmountkennedy.html,326690,206784,726613,706816,-6.10944,53.096895,0,01,2819222,Sub-District
560,RATHDRUM,WEXFORD,3202F,"Station Road, Corballis Lower",WICKLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Rathdrum.html,319306,188123,719231,688159,-6.226505,52.930996,0,0404,46206,Sub-District
561,ROUNDWOOD,WEXFORD,3206K,"Toghermore, Roundwood",WICKLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Roundwood.html,319065,202820,718990,702853,-6.224677,53.063047,0,01,2818142,Sub-District
562,SHILLELAGH,WEXFORD,2905L,"Sheillelagh, Co. Carlow",WICKLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Shillelagh.html,298794,168019,698723,668060,-6.537507,52.754565,0,055,29102,Sub-District
563,TINAHELY,WEXFORD,2906H,"Tinahely, Co. Carlow",WICKLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Tinahely.html,303300,172806,703228,672846,-6.469283,52.796724,0,0402,38102,Sub-District
564,WICKLOW,WEXFORD,3200L,"Batchelor's Walk, Wicklow, Co. Wicklow",WICKLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Wicklow.html,331516,194057,731438,694092,-6.042638,52.981435,1,0404,60140,District HQ
565,DONARD [SS],WEXFORD,2904A,GS,WICKLOW, ,292972,197768,692902,697802,-6.615215,53.022836,0, , ,SUB- Station
566,MURROUGH,MURROUGH,5240L,"Dublin Road, Renmore, Galway",GALWAY,https://www.garda.ie/en/contact-us/station-directory/gaillimh-galway-.html,132730,225598,532696,725627,-9.009147,53.276695,1,091,337140,Division HQ
567,STEPASIDE,DUN LAOGHAIRE,1972M,"Stepaside Lane, Dublin 18",DUBLIN,https://www.garda.ie/en/contact-us/station-directory/stepaside.html,319221,224010,719146,724039,-6.2144,53.2533,0,01,666 5700, 
